code_area_operation,company_reference_code,company_name
1,37,gato preto
1,38,santa brigida
1,232,spencer
1,235,norte buss s.a.
2,92,sambaiba
2,232,spencer
2,235,norte buss s.a.
3,50,viacao metropole
3,218,transuniao
3,237,upbus s.a.
4,80,ambiental s.a.
4,82,express
4,224,pessego
4,233,allibus
5,51,via sudeste
5,218,transuniao
5,236,movebuss
6,53,viacao grajau
6,81,mobibrasil
6,228,transwolff
6,229,a2 transportes
7,27,campo belo
7,50,viacao metropole
7,55,kbpx
7,95,gatusa
7,228,transwolff
8,37,gato preto
8,89,transppass
8,222,alfa rodobus
8,230,transcap
