line_sign_name,line_number,company_name,region_id
172R-10,33627,Norte Buss S.A.,0
8700-1,2508,GATO PRETO,0
3902-10,1470,VIACAO METROPOLE,0
6110-10,33952,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
807M-10,34684,AUTO VIACAO TRANSCAP LTDA,8
2011-10,34904,SAMBAIBA,0
5154-10,33121,GATUSA,0
875P-10,1341,VIACAO GATO PRETO LTDA.,8
4030-10,33868,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
607M-10,2036,VIACAO GRAJAU S.A.,6
6505-10,1450,CAMPO BELO,0
971X-10,34463,SAMBAIBA,0
8021-10,34841,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
5705-10,1657,VIA SUDESTE TRANSPORTES S.A.,5
5035-10,34436,MOVEBUSS,0
5012-10,33884,A2 Transportes,0
637J-10,103,MOBIBRASIL,0
6076-10,1165,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
6116-10,33954,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
3112-10,1080,MOVEBUSS,0
7281-10,34102,GATO PRETO,0
9002-10,33638,NORTE BUSS TRANSPORTES S.A.,2
6038-10,33984,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
175P-10,675,SAMBAIBA,0
2734-10,34528,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
271A-51,33471,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
373T-10,33859,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
3736-10,1036,Pessego,0
978T-10,33657,NORTE BUSS TRANSPORTES S.A.,1
856R-10,1428,GATO PRETO,0
4115-10,33090,VIA SUDESTE,0
7002-10,33540,ALFA RODOBUS,0
2583-10,33143,VIACAO METROPOLE PAULISTA S.A.,3
8028-10,2532,AUTO VIACAO TRANSCAP LTDA,8
312N-10,990,EXPRESS TRANSPORTES URBANOS LTDA.,4
5105-10,1651,VIA SUDESTE TRANSPORTES S.A.,5
637J-10,32871,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
9023-10,34205,Norte Buss S.A.,0
675N-10,362,GATUSA,0
888P-10,454,VIACAO SANTA BRIGIDA LTDA.,1
2716-10,33697,ALLIBUS TRANSPORTES LTDA,4
675P-10,33043,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
6059-10,33994,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
3112-10,33848,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
695V-10,8,KBPX,0
2018-10,904,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
407E-10,34983,EXPRESS,0
5290-10,597,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
8300-10,34032,VIACAO SANTA BRIGIDA LTDA.,1
5362-10,32838,VIACAO GRAJAU,0
5630-10,32846,VIACAO GRAJAU,0
271F-10,683,SAMBAIBA,0
