line_sign_name,line_number,company_name,region_id
1721-10,33434,sambaiba,2
4010-10,2183,express,4
647A-10,1315,kbpx,7
4221-10,325,via sudeste,5
7006-51,1997,transwolff,7
675R-10,109,viacao grajau,6
8000-10,34041,santa brigida,1
6093-10,34353,transwolff,6
2161-10,33462,sambaiba,2
809U-10,2254,gato preto,8
5107-10,1659,via sudeste,5
2009-10,33666,transuniao,3
5145-10,34409,via sudeste,5
7281-10,34102,gato preto,8
9006-10,874,norte buss s.a.,1
1778-10,34557,sambaiba,2
546T-10,272,a2 transportes,6
2029-10,35038,sambaiba,2
707A-10,1990,viacao metropole,7
1720-21,1937,norte buss s.a.,2
2735-10,1921,allibus,4
6840-10,32969,viacao metropole,7
809V-10,2243,transppass,8
507T-10,2208,express,4
2100-10,33481,ambiental transportes urbanos s.a.,4
2755-10,233,viacao metropole,3
2363-10,135,viacao metropole,3
5106-10,1280,mobibrasil,6
4021-10,35316,pessego,4
3002-10,34576,transuniao,3
1178-31,34580,viacao metropole,3
6250-10,33236,transppass,8
8030-10,35330,transcap,8
3756-10,33818,transuniao,3
2702-10,914,transuniao,3
4724-10,2060,allibus,4
677A-10,34007,viacao metropole,7
3161-10,1084,transuniao,5
4008-10,2182,express,4
6816-10,32794,campo belo,7
9501-10,462,santa brigida,1
4706-10,33067,via sudeste,5
7057-10,34665,transwolff,7
6118-10,1188,transwolff,6
372U-10,33784,allibus,4
6960-10,34211,viacao grajau,6
4013-10,34954,express,4
3025-10,961,pessego,4
6815-10,32793,campo belo,7
778J-10,508,transppass,8
4005-10,2179,express,4
6232-10,33251,transppass,8
6078-10,1166,transwolff,6
8001-10,34019,santa brigida,1
971D-10,709,sambaiba,2
8200-10,1263,santa brigida,1
6007-10,32944,viacao metropole,7
118C-10,33287,sambaiba,2
148P-10,534,sambaiba,2
7017-10,2502,transwolff,7
7040-10,33544,alfa rodobus,8
948A-10,1423,santa brigida,1
2012-10,35049,sambaiba,2
2708-10,33689,transuniao,3
312N-10,33758,express,4
6291-10,33126,gatusa,7
1702-10,846,spencer,2
6801-51,1774,campo belo,7
8319-10,33244,gato preto,8
297A-10,2133,sambaiba,2
637P-10,32815,gatusa,7
971C-10,33339,sambaiba,2
4031-10,1101,movebuss,5
6084-10,1169,transwolff,6
1772-10,635,sambaiba,2
695Y-10,1198,viacao grajau,6
6045-10,1222,transwolff,7
2551-10,141,viacao metropole,3
9162-10,1365,gato preto,1
2720-31,1842,allibus,4
1023-10,35327,norte buss s.a.,1
1741-10,33307,sambaiba,2
875C-10,2510,transppass,8
1782-10,643,sambaiba,2
677V-10,112,transwolff,6
5185-10,34076,kbpx,7
6041-10,1218,transwolff,7
8060-10,418,santa brigida,1
6500-10,46,campo belo,7
675N-10,33130,gatusa,7
575C-10,1686,via sudeste,5
2002-10,711,ambiental s.a.,4
407W-10,34972,express,4
4014-10,34955,express,4
273F-10,159,viacao metropole,3
9032-10,880,norte buss s.a.,1
6043-10,1220,transwolff,7
139A-10,2451,norte buss s.a.,1
778J-41,34254,transppass,8
2780-10,33167,viacao metropole,3
3796-10,1074,pessego,4
719P-10,34140,gato preto,8
5123-10,1125,a2 transportes,6
4015-10,2188,express,4
407T-10,34970,transuniao,3
4085-10,34924,upbus s.a.,3
8528-10,33343,santa brigida,1
6835-31,1407,campo belo,7
1758-10,33320,sambaiba,2
978T-10,33657,norte buss s.a.,1
6063-42,2002,transwolff,6
8020-10,1726,transppass,8
476G-10,1111,transuniao,5
6062-51,34507,transwolff,6
2728-10,33711,allibus,4
9005-10,33640,norte buss s.a.,1
2127-10,693,sambaiba,2
637J-10,103,mobibrasil,6
6L10-10,33927,transwolff,6
1036-10,2453,norte buss s.a.,1
3003-10,34565,viacao metropole,3
273J-10,33157,viacao metropole,3
975A-10,589,santa brigida,1
576M-10,33372,mobibrasil,6
2033-10,2499,sambaiba,2
737A-10,1730,viacao metropole,7
9011-21,34536,norte buss s.a.,1
9023-10,34205,norte buss s.a.,1
675L-10,1478,viacao metropole,7
1785-10,34584,norte buss s.a.,2
8000-10,2506,santa brigida,1
1019-10,2495,santa brigida,1
745M-10,33550,transcap,8
5031-10,1746,movebuss,5
8300-10,34032,santa brigida,1
6262-10,34139,transppass,8
1783-10,644,sambaiba,2
2032-10,35034,sambaiba,2
8500-10,1267,santa brigida,1
513L-10,1655,via sudeste,5
695X-10,1441,viacao grajau,6
909T-10,2512,gato preto,8
5020-10,34438,movebuss,5
6455-10,63,campo belo,7
4006-10,34948,express,4
4007-10,34949,express,4
5119-10,32769,campo belo,7
875P-10,1341,gato preto,8
2523-10,33018,viacao metropole,3
502J-10,34043,mobibrasil,6
5127-10,1127,a2 transportes,6
2076-10,33136,viacao metropole,3
917H-10,456,santa brigida,1
2762-10,32912,viacao metropole,3
805L-10,32892,viacao metropole,3
6120-10,33957,transwolff,6
6403-10,58,campo belo,7
908T-10,2116,viacao metropole,3
6074-10,33929,transwolff,6
8548-10,33346,santa brigida,1
8015-10,1345,spencer,1
7052-10,1886,transwolff,7
476G-41,1112,transuniao,5
407F-10,34935,viacao metropole,3
8018-10,2070,transppass,8
4032-10,33870,movebuss,5
2582-10,33142,viacao metropole,3
8600-10,1432,santa brigida,1
8065-10,33189,santa brigida,1
2666-10,33146,viacao metropole,3
3031-10,33735,pessego,4
6726-10,1193,transwolff,6
6412-10,770,transcap,8
2765-10,145,viacao metropole,3
407L-10,2199,express,4
4092-10,34644,pessego,4
4036-10,35329,viacao metropole,3
5652-10,33042,mobibrasil,6
6817-10,32795,campo belo,7
9008-10,875,norte buss s.a.,1
971X-10,34463,sambaiba,2
7049-10,34680,transwolff,7
172N-10,33432,sambaiba,2
271F-10,33451,sambaiba,2
7050-10,1884,kbpx,7
3009-10,35294,transuniao,3
314J-10,310,via sudeste,5
675M-10,108,mobibrasil,6
9701-10,33337,sambaiba,2
3010-10,2543,transuniao,3
546J-31,2015,a2 transportes,6
3459-10,402,viacao metropole,3
3069-10,33752,allibus,4
177H-10,33398,sambaiba,2
6837-10,6,transcap,8
3112-10,33848,movebuss,5
6093-10,1585,transwolff,6
675X-10,32879,viacao grajau,6
2161-10,694,sambaiba,2
2721-10,934,allibus,4
3734-10,1034,allibus,4
6080-10,1168,transwolff,6
3008-10,35283,transuniao,3
4019-10,35292,transuniao,3
2722-10,33703,allibus,4
516N-10,266,mobibrasil,6
7055-10,1888,transwolff,7
2016-10,33670,upbus s.a.,3
178L-10,33328,sambaiba,2
809R-10,2067,transppass,8
4055-10,35215,transuniao,3
8605-10,1917,kbpx,7
8032-10,2545,gato preto,8
6450-10,32827,campo belo,7
2626-10,33144,viacao metropole,3
7411-10,1376,gato preto,8
6042-10,1219,transwolff,7
2105-10,2247,sambaiba,2
971T-10,33386,sambaiba,2
4222-10,33056,via sudeste,5
233A-10,249,viacao metropole,3
3051-10,35214,upbus s.a.,3
6076-41,34754,transwolff,6
5164-10,34051,mobibrasil,6
775F-31,35256,transcap,8
5029-10,34440,via sudeste,5
971A-10,658,sambaiba,2
6418-10,33539,transcap,8
888P-10,33222,santa brigida,1
407K-10,2168,viacao metropole,3
2756-10,33006,viacao metropole,3
271C-10,33450,sambaiba,2
9032-21,34583,norte buss s.a.,1
5010-10,33882,a2 transportes,6
8600-22,34822,santa brigida,1
2020-10,2262,sambaiba,2
6003-21,35344,viacao grajau,6
7181-10,1332,gato preto,8
546A-10,33899,a2 transportes,6
938P-10,888,norte buss s.a.,1
746P-10,788,transcap,8
714C-10,33255,transppass,8
7282-10,33239,gato preto,8
957T-10,464,santa brigida,1
6048-10,32824,campo belo,7
1896-10,2520,santa brigida,1
930P-10,34883,viacao metropole,3
2030-10,35032,sambaiba,2
8027-10,2162,transppass,8
373T-10,33859,movebuss,5
778R-10,509,transppass,8
9015-10,34037,norte buss s.a.,1
5091-10,1523,mobibrasil,6
9500-10,461,santa brigida,1
3735-41,1920,pessego,4
2201-10,33677,transuniao,3
209P-10,35069,sambaiba,2
5370-10,1442,viacao grajau,6
372F-10,33783,pessego,4
4029-10,1099,movebuss,5
1721-10,666,sambaiba,2
6014-10,188,viacao metropole,7
509J-10,33032,mobibrasil,6
574W-10,1629,movebuss,5
7053-21,34663,transwolff,7
2079-10,33138,viacao metropole,3
6824-10,32791,campo belo,7
7267-10,34195,gato preto,8
576M-10,604,mobibrasil,6
407G-10,2196,express,4
7051-10,1885,transwolff,7
6001-10,32820,campo belo,7
172K-10,857,spencer,2
1036-10,35221,norte buss s.a.,1
6034-10,95,transwolff,6
9785-10,828,norte buss s.a.,1
771P-10,33274,transppass,8
3743-10,33811,pessego,4
311C-10,309,via sudeste,5
253F-10,158,viacao metropole,3
2735-21,33282,allibus,4
2712-10,926,allibus,4
4727-10,33108,via sudeste,5
278A-10,33474,sambaiba,2
407N-10,34937,express,4
3763-10,33822,allibus,4
373L-10,1027,pessego,4
5028-10,1634,via sudeste,5
4014-10,2187,express,4
478P-10,33117,via sudeste,5
6099-10,34355,transwolff,6
8100-10,1262,santa brigida,1
1020-10,35265,spencer,1
5300-10,33122,gatusa,7
2780-10,399,viacao metropole,3
5025-10,1564,movebuss,5
407Y-10,2206,express,4
4734-10,33877,movebuss,5
7040-10,776,alfa rodobus,8
8021-10,2073,transppass,8
1730-10,33633,norte buss s.a.,2
6L03-10,34333,transwolff,6
3301-10,1618,viacao metropole,3
5034-10,34431,via sudeste,5
4021-10,2548,pessego,4
2734-10,1760,upbus s.a.,3
6056-10,1147,transwolff,6
6913-10,1465,viacao grajau,6
5362-10,70,viacao grajau,6
3002-10,1808,transuniao,3
1178-31,1812,viacao metropole,3
5632-10,32849,viacao grajau,6
342M-10,33515,ambiental s.a.,4
4717-10,335,via sudeste,5
637V-10,32872,transwolff,6
6803-10,32797,campo belo,7
